ano,numero,disciplina,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,gabarito,categoria_disciplina
2014,1,LEGISLAÇÃO INSTITUCIONAL,"De acordo com a Lei n. 5.301/69 - Estatuto dos Militares do Estado de Minas Gerais, analise as afirmativas a seguir, indicando-as como verdadeiras (V) ou falsas (F), e em seguida marque a alternativa CORRETA:

( ) O período obrigatório de interstício na graduação de 2º sargento, para promoção por antiguidade ou merecimento à graduação de 1º sargento é de três anos.
( ) Será concedida a demissão ao militar que tenha realizado curso com duração de seis meses às expensas do Estado, desde que ele indenize todas as despesas de curso ou permaneça na corporação pelo menos 1 (um) ano após o curso.
( ) O oficial ou praça poderá ser licenciado por motivo de doença em pessoa da família.
( ) O Governador do Estado é a autoridade competente para concessão de licença para tratamento da própria saúde de até 24 meses.","F, F, F, F.","V, V, V, V.","F, F, V, V.","V, V, V, F.",C,Legislação Básica
2014,2,LEGISLAÇÃO INSTITUCIONAL,"Quatro militares, sendo um major, um 1º tenente, um 3º sargento e um cabo deslocavam-se em grupo, fora de forma, seguindo em direção a uma sala. Um soldado que estava posicionado nesta sala, conseguia visualizar os quatro militares se aproximando e percebeu que eles caminhavam em linha, um ao lado do outro, seguindo os posicionamentos condizentes com os sinais de respeito contidos no Regulamento de Continências. A alternativa que melhor ilustra a posição de cada militar, da esquerda para a direita, pela vista do soldado é:","Major, 1º tenente, 3º sargento, cabo.","Cabo, 1º tenente, major, 3º sargento.","3º sargento, 1º tenente, major, cabo.","Cabo, 3º sargento, 1º tenente, major.",B,Legislação Básica
2014,3,LEGISLAÇÃO INSTITUCIONAL,"A Lei n. 14.310/02 prevê as seguintes sanções disciplinares, EXCETO:","Prestação de serviço de natureza preferencialmente administrativa, correspondente a um turno de serviço semanal, que não exceda a oito horas.",Suspensão de até 10 dias.,Reforma disciplinar compulsória.,Perda da graduação do militar da reserva remunerada.,A,Legislação Básica
2014,4,LEGISLAÇÃO INSTITUCIONAL,"Dentre os benefícios compreendidos pela prestação previdenciária, assinale aquele que pode ser destinado tanto para o segurado, quanto para o dependente:",Auxílio-funeral.,Auxílio-reclusão.,Pecúlio.,Pensão.,A,Legislação Básica
2014,5,LEGISLAÇÃO INSTITUCIONAL,"De acordo com a Emenda Constitucional Estadual n. 57/03, assinale verdadeiro (V) ou falso (F), e em seguida marque a alternativa CORRETA:

( ) É garantida a contagem em dobro das férias-prêmio não gozadas, para fins de concessão de aposentadoria, as férias-prêmio adquiridas até a data da publicação da Emenda à Constituição da República n. 20/98.
( ) É garantida a contagem em dobro das férias-prêmio não gozadas para fins de percepção de adicionais por tempo de serviço, quando da aposentadoria, ao servidor que tenha cumprido os requisitos para a obtenção de tal benefício.
( ) Para fins de promoção e progressão nas carreiras será adotado, além dos critérios estabelecidos na legislação pertinente, o sistema de avaliação de desempenho, que será disciplinado em lei, podendo ser prevista pontuação por tempo de serviço.
( ) Fica assegurado ao servidor público civil e ao militar, quando de sua aposentadoria, o direito de converter em espécie as férias-prêmio adquiridas até 29 de fevereiro de 2004 e não gozadas.","V, F, V, V.","V, V, F, V.","V, V, V, V.","F, V, V, V.",C,Legislação Básica
2014,6,LEGISLAÇÃO INSTITUCIONAL,"A respeito da movimentação de pessoal no âmbito do CBMMG, marque a alternativa FALSA.","A movimentação do mesmo militar em período inferior a um ano somente poderá ocorrer em casos excepcionais, com aprovação prévia do Chefe do Estado-Maior da corporação.",As permutas só serão possíveis se não houver excesso na fração de origem e/ou destino.,"Os créditos destinados à cobertura de despesas, provenientes de movimentações da competência de autoridades superiores, serão repassados automática e simultaneamente ao ordenador de despesas a que incumbir o seu pagamento.",O Chefe do Estado-Maior do CBMMG e o Comandante Operacional de Bombeiros possuem competência para movimentar praças no âmbito de toda corporação.,D,Legislação Básica
2014,7,LEGISLAÇÃO INSTITUCIONAL,"De acordo com a Lei n. 5.301/69 - Estatuto dos Militares do Estado de Minas Gerais, marque a alternativa CORRETA:","São autoridades competentes para conceder licença, o Governador do Estado, até 24 (vinte e quatro) meses e o Comandante-Geral até 6 meses.","A transferência para a inatividade interrompe toda e qualquer licença, cassando-a automaticamente e será promovida sem nenhuma despesa para o oficial ou praça.",A situação de inatividade será declarada por ato do Comandante-Geral.,"O militar poderá obter licença para tratar de interesse particular, quando tenha, pelo menos, 5 anos de serviços prestados à Polícia Militar.",B,Legislação Básica
2014,8,LEGISLAÇÃO INSTITUCIONAL,"Em relação ao Treinamento Complementar fora da corporação, a Resolução n. 255/07 - Treinamento Profissional no CBMMG, estabelece que o Treinamento Complementar é planejado e executado com base nos seguintes princípios, EXCETO:",Antecipação.,Aplicação.,Continuidade.,Motivação.,C,Legislação Básica
2014,9,LEGISLAÇÃO INSTITUCIONAL,São períodos obrigatórios de interstício na graduação para promoção por antiguidade ou merecimento à graduação seguinte:,3 anos - 3° Sgt; 6 anos - 2°Sgt; 5 anos - 1° Sgt.,5 anos - 3° Sgt; 6 anos - 2°Sgt; 3 anos - 1° Sgt.,5 anos - 3° Sgt; 3 anos - 2°Sgt; 6 anos - 1° Sgt.,6 anos - 3° Sgt; 5 anos - 2°Sgt; 3 anos - 1° Sgt.,B,Legislação Básica
2014,10,LEGISLAÇÃO INSTITUCIONAL,Marque a alternativa que corresponde ao preenchimento CORRETO das lacunas. Na forma da Resolução n. 73/02 - movimentação de pessoal:,"Fica delegada competência para movimentação do pessoal ao ____ para transferência de praças integrantes de diferentes sistemas, no interesse próprio, inclusive permuta, com manifestação favorável dos respectivos comandantes diretos.","____ é a movimentação de oficial ou praça, dentro de uma mesma unidade, de uma para outra subunidade, fração ou repartição interna, com ou sem mudanças de sede.","A ____ do mesmo militar em período inferior a um ano somente poderá ocorrer em casos excepcionais, com aprovação prévia do Chefe do EMBM.","Fica delegada competência para movimentação do pessoal, ao ____ do Corpo de Bombeiros para a designação de oficiais no âmbito do EMBM e a movimentação de praças na corporação.",A,Legislação Básica
2014,11,CONHECIMENTOS JURÍDICOS BÁSICOS,O processo e julgamento do crime de abuso de autoridade - Lei n. 4.898/65 - praticado por policial militar em serviço é da competência da:,Justiça Estadual.,Justiça Federal.,Justiça Militar.,Nenhuma das alternativas.,A,Legislação Básica
2014,12,CONHECIMENTOS JURÍDICOS BÁSICOS,É CORRETO afirmar acerca das causas de exclusão de ilicitude:,"Agindo o sujeito ativo em legítima defesa com excesso em sua conduta, ele somente responderá se o praticar de forma dolosa, não havendo a previsão de responsabilidade pelo excesso culposo.","Pode alegar estado de necessidade quem tem o dever legal de enfrentar o perigo, desde que demonstre que praticou o fato para salvar de perigo atual direito próprio cujo sacrifício não era razoável exigir-se.","A atuação em estado de necessidade só é possível se ocorrer na defesa de direito próprio, não se admitindo tal excludente se a atuação destinar-se a proteger direito alheio.","Todo fato penalmente ilícito é, antes de mais nada, típico. No entanto, pode suceder que um fato típico não seja necessariamente ilícito, ante a concorrência de causas excludentes, a exemplo da legítima defesa.",D,Legislação Básica
2014,13,CONHECIMENTOS JURÍDICOS BÁSICOS,"O enunciado, 'Exigir imposto, taxa ou emolumento que sabe indevido, ou, quando devido, empregar na cobrança meio vexatório ou gravoso, que a lei não autoriza', refere-se CORRETAMENTE a:",Concussão.,Corrupção ativa.,Excesso de exação.,Peculato.,C,Legislação Básica
2014,14,CONHECIMENTOS JURÍDICOS BÁSICOS,"A Constituição da República dispõe no art. 5º, § 3º, que os tratados e convenções sobre direitos humanos, uma vez aprovados pelas duas casas do Congresso Nacional em dois turnos por pelo menos 3/5 dos votos dos respectivos membros, serão incorporados ao ordenamento jurídico equiparados a:",Decreto legislativo.,Emenda constitucional.,Lei complementar.,Lei ordinária.,B,Legislação Básica
2014,15,CONHECIMENTOS JURÍDICOS BÁSICOS,"Tendo em vista a Lei n. 4898/65, que regula os crimes de abuso de autoridade, assinale a afirmativa FALSA:",Qualquer atentado ao direito de reunião constitui abuso de autoridade.,"O abuso de autoridade sujeita o seu autor à sanção administrativa, civil e penal.","As penas de multa, detenção, perda do cargo e inabilitação para o exercício de qualquer outra função pública poderão ser aplicadas cumulativamente.",O processo administrativo poderá ser sobrestado para aguardar a decisão da ação penal.,D,Legislação Básica
2014,16,CONHECIMENTOS JURÍDICOS BÁSICOS,"É competência constitucional do Corpo de Bombeiros Militar de Minas Gerais, EXCETO:",Ações de busca e salvamento.,Ações de defesa civil.,Perícias de incêndio.,Poder de polícia em ações de proteção ao meio ambiente.,D,Legislação Básica
2014,17,CONHECIMENTOS JURÍDICOS BÁSICOS,"Conforme previsto na Constituição Estadual de 1989, as patentes dos oficiais são conferidas (Marque a alternativa CORRETA):",Pelo Chefe do Estado-Maior.,Pelo Governador do Estado.,Pelo Secretário de Estado de Defesa Social.,Pelo Secretário de Estado de Planejamento e Gestão.,B,Legislação Básica
2014,18,CONHECIMENTOS JURÍDICOS BÁSICOS,"Em relação aos direitos e deveres individuais e coletivos previstos na Constituição Federal de 1988 pode-se afirmar, EXCETO:","É defeso o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer.","É assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem.",Ninguém será submetido à tortura nem a tratamento desumano ou degradante.,"Homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição.",A,Legislação Básica
2014,19,CONHECIMENTOS JURÍDICOS BÁSICOS,Marque a alternativa que NÃO está de acordo com a Declaração Universal dos Direitos Humanos.,"Toda pessoa tem direito a repouso e lazer, inclusive a limitação razoável das horas de trabalho e férias periódicas remuneradas.","Toda pessoa tem direito a uma nacionalidade. Ninguém será arbitrariamente privado de sua nacionalidade, nem do direito de mudar de nacionalidade.",Todas as pessoas nascem livres e iguais em dignidade e direitos. São dotadas de razão e consciência e devem agir em relação umas às outras com espírito de fraternidade.,"Toda pessoa, vítima de perseguição, tem o direito de procurar e de gozar asilo em outros países. Este direito pode ser invocado mesmo em caso de perseguição legitimamente motivada por crimes de direito comum ou por atos contrários aos propósitos e princípios das Nações Unidas.",D,Legislação Básica
2014,20,CONHECIMENTOS JURÍDICOS BÁSICOS,"Nos termos do Decreto-Lei n. 1.001/69 - Código Penal Militar, configura-se PECULADO (Marque a alternativa CORRETA):","Apropriar-se de dinheiro, valor ou qualquer outro bem móvel, público ou particular, de que tem a posse ou detenção, em razão do cargo ou comissão, ou desviá-lo em proveito próprio ou alheio.","Assentindo em recusa conjunta de obediência, ou em resistência ou violência, em comum, contra superior.","Recusando obediência a superior, quando estejam agindo sem ordem ou praticando violência.","Agindo contra a ordem recebida de superior, ou negando-se a cumpri-la.",A,Legislação Básica
2014,21,CONHECIMENTOS PROFISSIONAIS,"Ao bradar um toque longo e a luz amarela ascender, qual possível ocorrência a ser atendida?",Acidente automobilístico com vítimas presas às ferragens.,Incêndio em lote vago.,Incêndio em posto de combustível.,Incêndio em residência com vítimas.,B,Conhecimentos Profissionais
2014,22,CONHECIMENTOS PROFISSIONAIS,"Considerando as medidas de segurança contra incêndio e pânico, bem como os procedimentos administrativos, preconizados pelo Decreto n. 44.746/08, todas as afirmativas abaixo estão corretas, EXCETO:","Em edificações de uso coletivo, com área de até 200 m², poderá ser confeccionado o Relatório de Vistoria do CBMMG em substituição ao Processo de Segurança Contra Incêndio e Pânico.","A análise do processo será realizada por oficial ou praça (subtenente ou sargento), desde que sejam devidamente credenciados.",O AVCB tem prazo de validade de cinco anos para locais de reunião de público.,"As residências unifamiliares de ocupação mista, que tenham acessos independentes e que possuam acima dois pavimentos, estão sujeitas às exigências do decreto.",ANULADA,Conhecimentos Profissionais
2014,23,CONHECIMENTOS PROFISSIONAIS,"Conforme a ITO n. 10/07, que se refere à preservação de locais de crime, pode-se afirmar, EXCETO:","No local do crime, merece consideração especial a providência de isolamento e preservação do local, face à grande importância que esta medida representa para a polícia investigatória. Em princípio, nada deve ser tocado ou arrecadado, a fim de que as provas e os vestuários não sejam destruídos ou adulterados.","Em local de homicídio, fica expressamente vedado o militar alterar ou violar o local de infração penal modificando posição de cadáveres promovendo busca nos corpos, apreendendo ou tocando em armas ou outros instrumentos encontrados no local.","No local do crime, o BM deverá arrolar testemunhas que tenham presenciado toda ou parte da ocorrência. Inexistindo, deverá isolar o local para que a autoridade policial realize a perícia e proceda as investigações pertinentes.","Em acidentes em veículos envolvendo pessoas vivas (ainda que presumivelmente vivas) e vítimas fatais, a Gu BM deve atuar imediatamente retirando as vítimas não fatais, encaminhando-as à rede hospitalar, ainda que seja necessária a retirada ou remoção das vítimas fatais.",C,Conhecimentos Profissionais
